number,country,org
328870,ZA,SynBurst-AS
328869,BW,BGL-AS
328868,ZA,SSL-AS
328867,MA,CBS-AS
328866,CM,NEWTELNET
328865,TZ,TOOT1-AS
328864,RW,DBOR-AS
328863,ZA,VSIC-AS
328862,KE,SKL-AS
328861,NG,NIMC-AS
328860,ZZ,-Reserved AS-
328859,TG,HOSTEUR-AS
328858,KE,EDN-AS
328857,CG,SILICONEAS
328856,KE,VIJIJI-CONNECT-LIMITED
328855,ZA,NCW-Ltd
328854,NG,CEFLIXAS
328853,TN,OXAHOST-AS
328852,ZZ,-Reserved AS-
328851,ZZ,-Reserved AS-
328850,MR,CSS-AS
328849,TZ,Nexusnet-AS
328848,ZA,SSVC-AS
328847,KE,KoTDA
328846,KE,FBT-AS
328845,TZ,COBE-AS
328844,MW,AFRIMAX-
328843,ZA,SouthCoast-AS
328842,GH,Prodata-AS
328841,ZA,Coleso
328840,CM,ST-Digital-AS
328839,ZA,Silver-Solutions
328838,TZ,AIM-FIRMS
328837,ZA,VTS-CONNECT
328836,KE,SIDIAN-BANK
328835,KE,Easy-BroadBand
328834,NG,WIN-FTTH-AS
328833,NG,FW-AS
328832,ZA,Network-Platforms-International
328831,ZZ,-Reserved AS-
328830,ZA,xpand-AS
328829,ZA,vumatel-AS
328828,ZZ,-Reserved AS-
328827,GH,NLA-AS
328826,ZA,Jumbo-Technologies
328825,NG,AACL-AS
328824,SD,Lulu-AS
328823,NG,JAIZ-AS
328822,ZA,YT-as
328821,UG,RAXIO-AS
328820,ZA,TF-Telecom-AS
328819,ZA,BPL-AS
328818,ZA,CASTLEROCK-AS
328817,ZM,CITYCHannel-AS
328816,ZA,ATS-AS
328815,KE,SWL-AS
328814,ZZ,-Reserved AS-
328813,UG,UCU-AS
328812,ZZ,-Reserved AS-
328811,MW,FCB-AS
328810,ZA,Techwood-as
328809,CI,EDIATTAH-AS
328808,KE,DUMATEL-AS
328807,ZA,FedEx-AS
328806,ZA,WDWL-AS
328805,TZ,ZAPTECH-AS
328804,KE,PP-AS
328803,ZA,RW-AS
328802,ZA,Khula-Tech-AS
328801,ZZ,-Reserved AS-
328800,KE,FMBL-MNT
328799,MA,HOSTOWEB-AS
328798,ZA,InsideData-AS
328797,GH,BL26-AS
328796,CD,GOMIX-MGT
328795,ZA,AdNotes
328794,EG,VISL1-AS
328793,KE,BTL7-AS
328792,AO,EEID-AS
328791,ZA,Mr-Price-Group
328790,ZA,OTL-AS
328789,NG,MCL
328788,ZA,Q-KON
328787,ZA,China-Mobile-International
328786,EG,ValU
328785,ZA,Gigawave-Solutions
328784,KE,Credit-Bank
328783,TZ,Selcom-Paytech
328782,KE,Karti-Telecom
328781,ZZ,-Reserved AS-
328780,NG,Imbil-Telecom-AS
328779,NG,Proline-Technologies
328778,ZA,Star-Network-Marketing
328777,ZA,LIMPO-WIFI
328776,NG,Evercare-Hospital-Lekki
328775,TZ,Azampay-Tanzania-AS
328774,ZA,Voizacom-ISP
328773,ZZ,-Reserved AS-
328772,ZA,Momentum-Metropolitan-Life-AS
328771,ZZ,-Reserved AS-
328770,GH,Simba-Media-Ghana
328769,GH,ARROW-NETWORK-SYSTEMS
328768,ZZ,-Reserved AS-
328767,ZA,Wiza-Solutions
328766,ZZ,-Reserved AS-
328765,ZZ,-Reserved AS-
328764,NG,Ekiti-State-University-AS
328763,ZA,Crimson-Moon-Trading
328762,EG,Mansoora-University
328761,ZA,Garnaal-AS
328760,ZA,ZTEL-AS
328759,ZZ,-Reserved AS-
328758,MU,RA-Consulting-Services
328757,BW,Donya-Digital-AS
328756,ZZ,-Reserved AS-
328755,SS,Digitel-Holdings
328754,UG,Diamond-Trust-Bank
328753,KE,Zeplin-Investments-AS
328752,GH,Christian-Service-University-AS
328751,TZ,CRDB-BANK
328750,ZA,Access-Technology-Consultants
328749,ZA,Triqa-Wifi
328748,ZA,Agile-Solutions-AS
328747,ZA,Wan4u
328746,NG,Globus-Bank-AS
328745,ZA,Urban-Wave-Internet-Solutions
328744,ZA,Platinum-Broadband-AS
328743,LY,SmartLink
328742,NG,Simplifyd-Systems-AS
328741,ZZ,-Reserved AS-
328740,ZZ,-Reserved AS-
328739,KE,Kenya-ports-authority
328738,MW,Youth-Net-Counselling
328737,BW,Netway-Proprietary-Limited
328736,ZA,MPACT-OPERATIONS
328735,ZA,Fibre-Geeks-AS
328734,KE,Tandaa-Networks
328733,LY,Awal-Telecom
328732,ZA,Krypton-Web
328731,ZZ,-Reserved AS-
328730,ZA,Dimension-5-AS
328729,CI,Groupement-Des-Services-Eau-Electricite
328728,MU,Outremer-Telecom-Digital-Solutions
328727,UG,KAMPALA-SITI-CABLE
328726,ZZ,-Reserved AS-
328725,AO,Advanlink-AS
328724,KE,ISAT-Kenya-AS
328723,ZA,Telasera-Technologies
328722,NG,Ciudad-AS
328721,BF,Groupe-Netforce-AS
328720,ZA,Nerospec-Networks
328719,ZA,Wired-Tech-AS
328718,AO,ANYCONNECT
328717,GH,Tizeti-Network-Ghana
328716,BF,VIPNET-BUKINA-FASO
328715,ZA,Zipher-WIFI-AS
328714,ZA,Lucert-Tech
328713,ZA,Tele-Internet
328712,ZA,Keter-Technologies
328711,ZA,Intaweb
328710,ZA,Orbicom-AS
328709,MA,UM6P-AS
328708,SS,DishNet-Africa-Ltd
328707,UG,Al-Bayan-Media
328706,ZA,IO-Tech
328705,KE,Victoria-Commercial-Bank-Limited
328704,ZA,WIFIZA-TELECOMS
328703,SC,Seven-Network-Seychelles-AS
328702,BJ,ADN-AS
328701,MU,EFT-Corporation-AS
328700,TZ,TIX-CDN
328699,MU,cloud-mu
328698,ZA,ZA-GAS-CC
328697,SS,Smart-Network-Limited
328696,NG,Tecpoint-Global-Solutions
328695,ZA,Witronics-Pty
328694,ZA,IMS-Ventures
328693,ZA,IFOWUNI-PTY
328692,ZZ,-Reserved AS-
328691,ZA,Global-Network-Systems
328690,SZ,Royal-Science-and-Technology-Park
328689,ZZ,-Reserved AS-
328688,ZZ,-Reserved AS-
328687,ZZ,-Reserved AS-
328686,ZZ,-Reserved AS-
328685,ZZ,-Reserved AS-
328684,ZZ,-Reserved AS-
328683,ZZ,-Reserved AS-
328682,ZZ,-Reserved AS-
328681,ZZ,-Reserved AS-
328680,ZZ,-Reserved AS-
328679,TD,Societe-Digital
328678,ZZ,-Reserved AS-
328677,ZA,KorCom-AS
328676,TZ,ZICTIA
328675,ZA,Product-Merchandiser
328674,ZA,MzansiComnet
328673,ZZ,-Reserved AS-
328672,ZA,Silicon-Sky-Consulting-AS
328671,MA,Datapacket-Maroc-AS
328670,ZA,Nowtech-PTY
328669,AO,BOLSA-DE-DIVIDA
328668,NG,Nkponani-AS
328667,ZZ,-Reserved AS-
328666,CM,CAMPASS-PLC
328665,ZM,ZRA-AS
328664,ZZ,-Reserved AS-
328663,GH,Catholic-University-Ghana
328662,GH,Presbyterian-University
328661,ZA,C-Way-Computers
328660,ZA,DavoCorp-AS
328659,GH,Vobiss-Solutions-Limited
328658,NG,De-Choicetech-Integrated
328657,ZA,Old-Mutual-Insure-AS
328656,ZA,Emalangeni-Technologies-AS
328655,ZZ,-Reserved AS-
328654,EG,Fixed-Solutions
328653,BJ,uacNet
328652,KE,Hirani-Telecommunication
328651,ZA,iVeriPaymentTechnologies
328650,SN,Universite-numerique-Cheikh-Hamidou-KANE
328649,ZZ,-Reserved AS-
328648,GH,Kumashi-Technical-Uni-AS
328647,GH,Koforidua-Technical-University
328646,ZM,Infratel-Corporation
328645,EG,egyptian-stock-exchange
328644,ZA,World-Sports-Betting
328643,ZA,Masstores-AS
328642,ZZ,-Reserved AS-
328641,ZA,Open-Fibre
328640,ZA,Kaltrade-470-AS
328639,GH,Ghana-National-Petroleum
328638,ZA,LETABANETWORKS
328637,KE,Travelport-Services-AS
328636,KE,Jambo-Telecoms
328635,CI,AIGF
328634,UG,Finance-Trust-Bank
328633,ZA,MikroTikSA-Networks
328632,ZA,RTS-Net
328631,ZA,BallitoISP
328630,NG,TIZETI_GH
328629,EG,Egyptian-Credit-Bureau
328628,SZ,Wanderport
328627,BF,ATCS-AS
328626,ZZ,-Reserved AS-
328625,ZZ,-Reserved AS-
328624,ZA,VDB-Communications-Ltd
328623,MU,VGR-Communications
328622,ZA,MHYAS-HOLDINGS-AS
328621,ZZ,-Reserved AS-
328620,CI,Guichet-Unique-du-Commerce-Exterieur-AS
328619,LY,Abraj-Libya
328618,CD,OLIVERSOFT
328617,NG,Skystar-Global-Solutions
328616,UG,Spidd-Africa
328615,LY,LITC2
328614,SS,Eden-Technologies-Ltd
328613,NG,TRAKATEL
328612,ZA,Zarclear-Ltd
328611,LY,Libyan-Elite
328610,SS,DELTANET-FIBER
328609,NG,Axa-Mansard
328608,ZA,Africa-on-Cloud-AS
328607,TZ,UBX-AS
328606,KE,Iristel-Kenya-AS
328605,SS,MUYA-FIBER
328604,TD,Sahel-Tele-Internet-AS
328603,ZZ,-Reserved AS-
328602,ZZ,-Reserved AS-
328601,CD,Compagnie-Financiere-du-Congo-AS
328600,MW,BENGOL_NET-LIMITED-AS
328599,TD,Amanet-SARL
328598,ZA,Ingululu-Communications
328597,ZZ,-Reserved AS-
328596,ZA,Mind-the-Speed-AS
328595,LR,Winners-Incorporated
328594,TD,SAFITELCHAD-AS
328593,ZZ,-Reserved AS-
328592,KE,Central-Bank-Kenya
328591,MZ,American-International-Mozambique
328590,SO,Somlink-Wireless-AS
328589,ZA,IPTELECOM-AS
328588,ZZ,-Reserved AS-
328587,EG,Ministry-of-Interior-
328586,SS,HORIZON-IT-SOLUTIONS-LTD
328585,NG,MegaMore
328584,ZZ,-Reserved AS-
328583,ZA,crazyweb-Tech
328582,ZZ,-Reserved AS-
328581,SL,Fiber-One
328580,NG,Oplay-Digital-Services
328579,SL,Sierra-Rutile
328578,KE,KEMNET-TECHNOLOGIES-AS
328577,MA,Enterprise-Services
328576,ZA,TelcoExchange
328575,ZA,SA-Domain-InternetServices
328574,GH,NCA-AS
328573,ZZ,-Reserved AS-
328572,ZZ,-Reserved AS-
328571,GH,Telesol-
328570,ZM,Fibrecom-Limited
328569,CD,Banque-Central-Congo
328568,ZA,iTEAM
328567,LS,LEC-Communications
328566,CD,Elite-Networks-AS
328565,MW,NBS-Bank-Limited
328564,ZZ,-Reserved AS-
328563,BI,CBINET
328562,ZA,Swift-Connect
328561,ZA,SIBANYE
328560,ZZ,-Reserved AS-
328559,ZZ,-Reserved AS-
328558,SN,Senelec-AS
328557,TZ,DIAMOND-TRUST-BANK-TANZANIA-AS
328556,NG,SYSCODES-COMMUNICATIONS-AS
328555,NG,Timeless-Network-Services-AS
328554,ZA,Fast-Servers
328553,EG,Bank-Misr
328552,CD,STE-MDICIS
328551,CD,Baraka-Broadband-AS
328550,SS,NCA-AS
328549,LR,Sahel-Telecom
328548,ZA,TOUCHNET-TELECOMMUNICATIONS-AS
328547,ZA,Devinity-AS
328546,SS,Trinity-Technologies-AS
328545,TZ,STL-TECH
328544,ZA,Technical-Support-Solutions-AS
328543,SC,sun-asn
328542,CD,MITC-SARL
328541,MA,Direction-Generale-des-Impots
328540,MU,UOMAS
328539,LY,Giga-Communication
328538,ZA,OCTOP-SMART-SOLUTIONS-AS
328537,ZA,Super-Group-Trading
328536,ZA,Attix5-Africa-Ltd
328535,SS,Juba-Network
328534,BF,AFREENET-SA
328533,ZA,Fliber-Ltd
328532,GH,Valley-View-University
328531,SZ,Eswatini-Revenue-Authority-AS
328530,GH,GardenCity-University
328529,ZZ,-Reserved AS-
328528,NG,NetIT-Solutions
328527,NG,PDS-NETWORKS
328526,ZA,Cloudface-AS
328525,ZZ,-Reserved AS-
328524,ZA,Trackmatic-Solutions
328523,ZA,Enterprise-Outsourcing
328522,NG,Cynox-IT
328521,ZA,Wiselink-Broadband
328520,ZZ,-Reserved AS-
328519,ZA,Globe-Com-Pty-Ltd
328518,ZA,Fontel-Ltd
328517,ZA,Infinity-Wireless-AS
328516,NG,Premium-Pension-Limited-AS
328515,ZZ,-Reserved AS-
328514,TZ,Net-Solutions
328513,ZA,KFML-Holdings
328512,ZA,Backspace-Technologies
328511,ZA,Shoprite-Checkers
328510,ZA,ikeja
328509,AO,SpeedNet-Servicos
328508,ZZ,-Reserved AS-
328507,ZA,Open-Link-Communication
328506,NA,Radio-Electronic-Proprietary-Limited
328505,ZA,City-Lodge-Hotels
328504,TZ,National-Identification-Authority-AS
328503,NG,Living-Faith-Church-WorldWide-AS
328502,GA,STR-AFRICA-AS
328501,ZA,Paygate-AS
328500,CG,AMC-Telecom
328499,TZ,NEXIS-GLOBAL-LIMITED
328498,ZA,Enabling-ICT-Solutions
328497,NG,Ibadan-Electricity-AS
328496,NG,CyberSOC-Africa-AS
328495,ZZ,-Reserved AS-
328494,GH,WirelessPlus-3D
328493,MA,SADV-AS
328492,ZA,Cartrack-Technologies-Ltd-AS
328491,SS,Super-NET-AS
328490,KE,Unwired-Communications
328489,MW,MISPA-MGMT-AS
328488,GM,DK-Telecom
328487,ZA,BitCoHome-AS
328486,ZA,Old-Mutual-Life-Assurance
328485,ZZ,-Reserved AS-
328484,EG,TBE-Egypt-AS
328483,ZA,Comput8-IT-AS
328482,KE,SkyTrend-Networks
328481,CM,AVS-Telecom
328480,ZA,TooMuchWifi
328479,KE,BULSHO-FIBER-LINK-AS
328478,TZ,Exim-Bank-TZ-AS
328477,KE,African-Banking-Corporation
328476,MU,LaSentinelle
328475,KE,Afriq-Network-Solutions-AS
328474,ZA,Jebo-Connect-AS
328473,ZA,Be-Broadband-AS
328472,BF,Yulcom-Technologies
328471,ZA,Hero-Telecoms
328470,CD,Hologram-Identification-Services-AS
328469,SO,Somtel-Somalia-AS
328468,ZA,Sunset-Rose-Investments-AS
328467,ZA,Suretel-AS
328466,KE,International-School-of-Kenya-AS
328465,KE,Integrated-Payment-Services-AS
328464,ZA,TCS-Wi-Fi
328463,TG,Ministere-des-Postes-Togo-AS
328462,UG,National-Social-Security-Fund-AS
328461,ZA,Mossnet-AS
328460,MZ,EYAZS-IMPERIUM-AS
328459,BW,VBN-Services
328458,ZZ,-Reserved AS-
328457,NG,Brainshare-Technologies-AS
328456,ZA,Pattern-Matched-Technologies-AS
328455,ZZ,-Reserved AS-
328454,GH,Bank-Of-Ghana-AS
328453,ZA,Web-Africa-Networks-AS
328452,CD,ISPA-RDC-LUBUX-MGMT
328451,NG,IP-Express-Ltd-AS
328450,ZA,FG-Telecommunications-AS
328449,ZA,Teracom-Communications-AS
328448,BF,Direction-Generale-Des-Impots-AS
328447,NG,EKO-Electricity-AS
328446,ZA,Open-Access-Technologies-AS
328445,CD,UNLIMITED-SARL-AS
328444,ZA,Wirelexx-AS
328443,CD,Societe-Datco-AS
328442,CD,UNITED-SA
328441,ZA,Your-Communications
328440,CV,Banco-BAI
328439,GH,GIMPA
328438,ZZ,-Reserved AS-
328437,ZA,Link-Up-Wireless-AS
328436,TZ,Flashnet-Technologies-Limited
328435,SO,Economic-Strategic-Research-Center-AS
328434,ZA,Netovate-Ltd-AS
328433,ZZ,-Reserved AS-
328432,BF,North-Star-International-AS
328431,ZA,Connected-Space-AS
328430,EG,Fawry-Banking-Electronic-Payment-AS
328429,GA,General-Business-Machines-AS
328428,ZZ,-Reserved AS-
328427,ZM,AirLink-Broadband-AS
328426,ZA,Zonke-Wifi-AS
328425,ZZ,-Reserved AS-
328424,BF,IT-Projet-AS
328423,ZA,Linux-Tech-AS
328422,ZA,FFG-Connection
328421,SD,NICSUDAN-AS-MGMT
328420,ZM,Bank-of-Zambia-vAS
328419,NG,Bayero-University-AS
328418,ZA,Olena-Trading-AS
328417,ZA,Tracker-Connect-AS
328416,ZZ,-Reserved AS-
328415,NG,ConnectFocus-AS
328414,TN,Next-Step-IT-AS
328413,ZZ,-Reserved AS-
328412,ZZ,-Reserved AS-
328411,MG,Gulfsat-Madagascar-AS
328410,ZA,FrogFoot-AS
328409,ZA,Atcomm-AS
328408,UG,HAMILTON-TELECOM-AS
328407,ZZ,-Reserved AS-
328406,CI,MainOne-CI-AS
328405,EG,Link-Datacenter-For-Data-Circulation
328404,ZA,Multichoice-Support-Services-AS
328403,MW,Malawi-Revenue-Authority-AS
328402,ZZ,-Reserved AS-
328401,NG,SoftAlliance-AS
328400,ZA,Powercloud-AS
328399,ZA,Vaal-Networking-AS
328398,GN,Guinee-CONAKRY-IXP-AS
328397,ZA,Lucky-Connect
328396,ZZ,-Reserved AS-
328395,NG,WAF-IX-AS-MGMT
328394,TN,STE-RESEAUX-FORMATION
328393,DZ,Algerie-Telecom
328392,KE,USAC1-AS
328391,ZA,Rocking-Connect
328390,ZZ,-Reserved AS-
328389,ZZ,-Reserved AS-
328388,ZA,Internet-SA
328387,NG,COZ-Internet-AS
328386,ZA,Adnexus-AS
328385,RW,RRA-AS
328384,ZA,ComX-Networks-AS
328383,SC,xTom-Limited-AS
328382,ZZ,-Reserved AS-
328381,SD,Sudanese-Internet-AS
328380,KE,Prime-Bank-AS
328379,CG,CGIX-PointeNoire-AS-MGT
328378,ZZ,-Reserved AS-
328377,ZA,Internet-Utilities-Africa-PTY-LTD
328376,NG,Alfa-O-AS
328375,ZA,Vlocity-Communications
328374,ZA,Spar-AS
328373,ZA,Village-Operator-AS
328372,GH,Etranzact-AS
328371,ZA,PerfectWorx-AS
328370,ZA,BlueLabel-AS
328369,ZZ,-Reserved AS-
328368,ZZ,-Reserved AS-
328367,GH,USEmbassy-Ghana-AS
328366,ZA,FirstnetTechnology-AS
328365,ZA,Edge-connect
328364,ZA,Host-Africa-AS
328363,SO,SOIXP-Management-AS
328362,NG,UniversityIlorin-AS
328361,ZA,AXNET
328360,ZA,HugeConnect-AS
328359,ZA,Gironet-AS
328358,UG,Makerere-AS
328357,NG,Castelnet-AS
328356,ZA,Intelys-AS
328355,CI,DGI-AS
328354,KE,CABLE-ONE-AS
328353,GH,MethodistUniversity-AS
328352,CM,UnitedNations-AS
328351,ZA,DKWireless-AS
328350,ZA,NetworkComputing-AS
328349,ZA,LidinoTrading-AS
328348,BW,FasttrackLearning-AS
328347,ZA,NoBarrierComm-AS
328346,ZA,Airtelecom-AS
328345,ZA,DarkFibreAfrica-AS
328344,CD,STETechplus-AS
328343,ZZ,-Reserved AS-
328342,ZA,NaafiHelpdesk-AS
328341,ZA,Capricom-AS
328340,ZZ,-Reserved AS-
328339,ZA,AS-2MInternetSolutions
328338,ZZ,-Reserved AS-
328337,ZA,VivaTelecoms-AS
328336,ZA,Rosewill-Trading-AS
328335,ZA,HarmonyGold-AS
328334,ZA,PhoenixQuest-AS
328333,ZA,FixedMobileTelco-AS
328332,NG,FEAP-AS
328331,KE,POA-INTERNET-AS
328330,BF,ANSII-AS
328329,CG,ARPCE-AS
328328,ZZ,-Reserved AS-
328327,ZA,ASAP-AS
328326,TZ,TISPA-MBIXP-AS
328325,TZ,TISPA-DIXP-AS
328324,NG,FederalUniversity-AS
328323,ZA,Brilliant-Telco-AS
328322,ZZ,-Reserved AS-
328321,ZZ,-Reserved AS-
328320,ZA,Kurlec-AS
328319,SO,Amtel-AS
328318,ML,MALIREN-AS
328317,ZA,Aerocom-AS
328316,BF,Point-Atterissement-AS
328315,ZA,Crisp-Fibre
328314,ZA,SMS-Cellular-AS
328313,ZA,GVSC-AS
328312,ZA,Deloitte-AS
328311,GQ,Conexxia-AS
328310,TD,GLOBALTEL-Networks
328309,NG,Globacom-AS
328308,EG,Azurde-Jewelry-AS
328307,TN,Unipack-AS
328306,ZA,Avanti-AS
328305,NG,Yappingo-AS
328304,GA,WAKA-AS
328303,GH,INETCOM-AS328303
328302,KE,Cloudone-AS
328301,KE,Messagelabs-AS
328300,MW,Malawi-Bank-AS
328299,EG,Attijariwafa-AS
328298,KE,Duara-AS
328297,SL,Qcell-AS
328296,KE,Atlancis-AS
328295,ZZ,-Reserved AS-
328294,TZ,TISPA-ZIXP-MGMT-AS
328293,TG,RDED-AS
328292,UG,AgentBanking-AS
328291,ZW,Veritran-AS
328290,CI,Vodacom-AS
328289,SL,Ceedee-Investment-AS
328288,ZA,Belanet-AS
328287,ZA,ALICOM-AS
328286,LY,Libyana-Mobile-AS
328285,ZA,EDELNET-AS
328284,ML,SMDT1-AS
328283,AO,BBDP1-AS
328282,TG,TEOLIS-SAU
328281,ZA,Audatex-AS
328280,MA,LNDR1-AS
328279,LR,NAS-Inter-Global-AS
328278,ZA,WiberSolutions-AS
328277,ML,MLIX-MGMT-AS
328276,ZZ,-Reserved AS-
328275,ZA,BWSC1-AS
328274,MZ,BBID1-AS
328273,AO,BCS-Banco-de-Credito-do-Sul-SA
328272,MA,CRNA1-AS
328271,KE,Syokinet-Solutions-AS
328270,ZA,WTTX-Communications-AS
328269,ZW,IT-Anywhere-AS
328268,MA,INPT-AS
328267,ZZ,-Reserved AS-
328266,ZA,Atomic-AS
328265,ZZ,-Reserved AS-
328264,GH,UPSA-AS
328263,ZZ,-Reserved AS-
328262,ZA,Internet-Uncapped
328261,GH,E-Connecta
328260,ZA,SPORTPESA
328259,SN,WAW-SAS
328258,SL,Zen-Internet
328257,ZA,ASK-Internet-Technologies
328256,NG,Skymax-Integrated-Network-AS
328255,ZA,Infraplex-AS
328254,ZA,Verdana-Group-AS
328253,ML,MALI-ATEL
328252,GH,Ecobank-Group
328251,ZZ,-Reserved AS-
328250,SO,Golis-Telecom-AS
328249,CD,Kinshasa-Wireless-AS
328248,ZZ,-Reserved AS-
328247,SC,xTomLimited
328246,ZA,Foschini-Retail-Group-AS
328245,BF,ARCEP-AS
328244,GN,Skyvision-Guinee-AS
328243,ZA,Root-Technologies-AS
328242,ZA,IP-Labs-AS
328241,ZA,exmile-AS
328240,NG,DANGOTE-AS
328239,ZA,EvoNet-AS
328238,CD,INFOSET-AS
328237,ZA,Mega-Max-AS
328236,SL,PCS-Holdings-Limited
328235,ZW,ZINX-MGMT
328234,ZA,Southey-Holdings-AS
328233,UG,DFCU-Bank-AS
328232,ZA,HX-Systems-AS
328231,ZZ,-Reserved AS-
328230,ZW,Hammer-and-Tongues-AS
328229,ZZ,-Reserved AS-
328228,BJ,SBIN-AS
328227,ZA,TELECLOUD_PTY_LTD
328226,ZZ,-Reserved AS-
328225,KE,Strathmore-University
328224,GH,University-of-Energy-and-Natural-Resourc
328223,MZ,VOIPTECH-LIMITADA-AS
328222,ZA,NETLAYER
328221,NG,CORALPAY
328220,ZA,Sentiv
328218,ZA,WASP-AS
328217,ZZ,-Reserved AS-
328216,ZA,Firestream-AS
328215,BF,Universal-Communication-AS
328214,ZA,Bioniq-Ltd-AS
328213,GH,IT-Consortium-Limited-AS
328212,GH,The-University-Of-Cape-Coast-AS
328211,AO,SETIC-FP-AS
328210,ZA,TENACIT-SOLUTIONS
328209,ZA,elocity-Trade-Financial-Services
328208,ZZ,-Reserved AS-
328207,GQ,OFFICE-TECH
328206,ZA,JAWUG
328205,ZA,Outsurance-Insurance-Company
328204,ZZ,-Reserved AS-
328203,NG,Platinum-Index-AS
328202,ZZ,-Reserved AS-
328201,KE,Elige-Communications-Ltd
328200,LY,Al-Madar-Al-Jadeed
328199,ZA,VOIMAR-PTY
328198,UG,BLUECRANE
328197,ZA,Telstream
328196,LR,POWERNET
328195,ZZ,-Reserved AS-
328194,ZM,Copperbelt-Energy-Corporation
328193,CI,SOCIETE-NATIONALE-DE-DEVELOPPEMENT-INFOR
328192,KE,Kenya-Post-Office-Savings-Bank
328191,ST,CST-NET-AS
328190,ZZ,-Reserved AS-
328189,NG,ECOBANK-NIGERIA
328188,NG,Covenant-University-AS
328187,MZ,EDM-AS
328186,ZA,Newshelf-1315
328185,GH,Consolidated-Bank-Ghana
328184,GH,Univ-Health-Science
328183,NG,Nigerian-Ports-Authority
328182,GH,Digital-Arena
328181,BW,GCSat-Botswana
328180,RW,Bank-Of-Kigali-AS
328179,ZA,Singa-Tel-AS
328178,ZA,The-Computer-Hut-AS
328177,NG,UNI-ABUJA
328176,ZA,ITTX-Telecoms
328175,NG,Xpress-Payment
328174,ZA,HomeFind24
328173,ZA,Weltel
328172,ZA,Jasper-Consultants
328171,NG,TREFOIL
328170,ZA,DataKeepers
328169,SZ,SWAZI-MOBILE
328168,ZZ,-Reserved AS-
328167,ZA,TWK-Communications
328166,ZZ,-Reserved AS-
328165,AO,Banco-de-Investimento-Rural
328164,ZA,Net-Hog-AS
328163,ZA,A2X
328162,KE,ICOLO
328161,ZA,PayCorp-Group-AS
328160,NG,Dotmac-Tech
328159,SN,ARC-Informatique
328158,NG,Exchange-Telecoms-Limited
328157,ZA,VirtualComms
328156,ZA,Korbitec
328155,ZA,BLUESKY
328154,AO,NETSPACE
328153,ZA,Psychz-Networks-ZA-AS
328152,TG,TGIX-MGMT-AS
328151,ZA,METROFIBRE-NETWORX-AS3
328150,ZA,METROFIBRE-NETWORX-AS2
328149,ZZ,-Reserved AS-
328148,SN,ADIE-AS
328147,SN,SENIX-MGMT-AS
328146,ZA,Saint-ICT-AS
328145,ZZ,-Reserved AS-
328144,ZZ,-Reserved AS-
328143,ZZ,-Reserved AS-
328142,KE,Eclectics-International-AS
328141,GH,Ostec-AS
328140,GM,INSIST-NET-AS
328139,TZ,BRELA-AS
328138,ZZ,-Reserved AS-
328137,ZA,Web-Squad-Connect-AS
328136,LR,Telecel-Liberia-AS
328135,ZA,AVBOB-AS
328134,ZZ,-Reserved AS-
328133,BJ,ABC-Corporation-AS
328132,KE,Bank-Of-Africa-Kenya-AS
328131,NG,Webb-Fontaine-AS
328130,ZA,Kosh-Communication-AS
328129,ZZ,-Reserved AS-
328128,NG,Tehilah-Base-AS
328127,ZZ,-Reserved AS-
328126,TN,ORANGE-CDN-AS
328125,ZA,FORBTECH-AS
328124,GA,DIGICOM-AS
328123,ZZ,-Reserved AS-
328122,ZA,Business-Connexion-PTY
328121,ZZ,-Reserved AS-
328120,ZA,SMS-Cellular-Services-AS
328119,ZA,BUI-Medical-Technology-AS
328118,UG,East-Africa-Broadband-Services-AS
328117,MW,FDH-Bank-AS
328115,ZZ,-Reserved AS-
328114,ZA,Comsol-Networks-AS
328113,ZA,Ocular-Technologies-AS
328112,ZA,Linux-Based-Systems-Design-AS
328111,AO,IPWORLD-AS
328110,ZZ,-Reserved AS-
328109,ZA,City-of-Cape-Town-AS
328108,GN,Guinee-IXP-AS-Mgmt
328107,GN,GUILAB-AS
328106,ZA,UNIWISP-AS
328105,EG,MES-AS
328104,TD,ADETIC-AS
328103,KE,BRADLEY-AS
328102,UG,UCC-AS
328101,ZA,Petprops-AS
328100,KE,GPRS-Roaming-Exchange-AS
328099,SN,HAYO-AS
328098,BJ,JENY-SAS-AS
328097,ZZ,-Reserved AS-
328096,ZZ,-Reserved AS-
328095,ZA,BLUEGATE-EXCHANGE-AS
328094,ZZ,-Reserved AS-
328093,KE,Kenya-Commercial-Bank-AS
328092,BJ,SUD-TELCOM-AS
328091,CM,CAMIX-Mgmt-AS
328090,KE,Gulf-African-Bank-AS
328089,KE,Kenya-Revenue-Authority-AS
328088,ZW,NetOne-Cellular-AS
328087,KE,Unga-Holdings-AS
328086,ZA,WiseTech-Global-AS
328085,ZZ,-Reserved AS-
328083,ZZ,-Reserved AS-
328082,ZZ,-Reserved AS-
328081,NG,HollaTags-AS
328080,NG,Inview-Tech-AS
328079,CF,TELECEL-CENTRAFRIQUE-AS
328078,ZZ,-Reserved AS-
328077,ZZ,-Reserved AS-
328076,GH,University-of-Mines-and-Technology
328075,TZ,Gadgetronix-Net
328074,ZA,KLIQ-ltd-AS
328073,LY,Ion-Telecom-AS
328072,ZA,Axxess-DSL-AS
328070,BW,MTN-Business-Solutions-BW-AS
328069,ZZ,-Reserved AS-
328068,ZA,Active-Fibre
328067,EG,EGIT-Technology-AS
328066,MA,MEDASYS-AS
