country,version,ip,prefixlength,state,orgsflat
*,ipv6,240d:20::,27,reserved,*
*,ipv6,240d:40::,26,reserved,*
*,ipv6,240d:80::,25,reserved,*
*,ipv6,2001:248::,35,reserved,*
*,ipv6,2001:3f8::,32,reserved,*
*,ipv6,2001:7fa::,64,reserved,*
*,ipv6,2001:d20::,32,reserved,*
*,ipv6,2001:d60::,32,reserved,*
*,ipv6,2001:db8::,32,reserved,*
*,ipv6,2001:dcb::,32,reserved,*
*,ipv6,2001:de0::,32,reserved,*
*,ipv6,2001:de8::,48,reserved,*
*,ipv6,2001:dfb::,48,reserved,*
*,ipv6,2001:e00::,32,reserved,*
*,ipv6,2001:e01::,32,reserved,*
*,ipv6,2001:fff::,32,reserved,*
*,ipv6,2401:9e0::,32,reserved,*
*,ipv6,2402:4c0::,32,reserved,*
*,ipv6,2402:520::,32,reserved,*
*,ipv6,2403:bc0::,32,reserved,*
*,ipv6,2403:cc0::,32,reserved,*
*,ipv6,2403:f40::,32,reserved,*
*,ipv6,2404:151::,32,reserved,*
*,ipv6,2404:152::,31,reserved,*
*,ipv6,2404:154::,30,reserved,*
*,ipv6,2404:190::,28,reserved,*
*,ipv6,2404:1c0::,32,reserved,*
*,ipv6,2404:540::,32,reserved,*
*,ipv6,2404:a40::,32,reserved,*
*,ipv6,2405:180::,32,reserved,*
*,ipv6,2405:208::,29,reserved,*
*,ipv6,2405:210::,28,reserved,*
*,ipv6,2405:220::,27,reserved,*
*,ipv6,2405:240::,26,reserved,*
*,ipv6,2405:280::,25,reserved,*
*,ipv6,2405:300::,24,reserved,*
*,ipv6,2405:a40::,32,reserved,*
*,ipv6,2405:b00::,32,reserved,*
*,ipv6,2406:b80::,32,reserved,*
*,ipv6,2407:f80::,32,reserved,*
*,ipv6,2408:400::,22,reserved,*
*,ipv6,2408:800::,21,reserved,*
*,ipv6,240a:100::,24,reserved,*
*,ipv6,240a:200::,23,reserved,*
*,ipv6,240a:400::,22,reserved,*
*,ipv6,240a:800::,21,reserved,*
*,ipv6,240b:100::,24,reserved,*
*,ipv6,240b:200::,26,reserved,*
*,ipv6,240b:280::,25,reserved,*
*,ipv6,240b:300::,24,reserved,*
*,ipv6,240b:400::,22,reserved,*
*,ipv6,240b:800::,21,reserved,*
*,ipv6,240c:100::,24,reserved,*
*,ipv6,240c:200::,23,reserved,*
*,ipv6,240c:400::,22,reserved,*
*,ipv6,240c:800::,21,reserved,*
*,ipv6,240d:100::,24,reserved,*
*,ipv6,240d:200::,23,reserved,*
*,ipv6,240d:400::,22,reserved,*
*,ipv6,240d:800::,21,reserved,*
*,ipv6,240f:200::,23,reserved,*
*,ipv6,240f:400::,22,reserved,*
*,ipv6,240f:800::,21,reserved,*
*,ipv6,2001:4440::,32,reserved,*
*,ipv6,2001:4441::,32,reserved,*
*,ipv6,2001:4442::,32,reserved,*
*,ipv6,2001:4468::,32,reserved,*
*,ipv6,2001:448c::,30,reserved,*
*,ipv6,2001:4494::,30,reserved,*
*,ipv6,2001:452c::,30,reserved,*
*,ipv6,2001:4560::,27,reserved,*
*,ipv6,2001:45c0::,26,reserved,*
*,ipv6,2001:9500::,32,reserved,*
*,ipv6,2001:a800::,21,reserved,*
*,ipv6,2001:b800::,21,reserved,*
*,ipv6,2001:dd8:3::,48,reserved,*
*,ipv6,2001:de8:9::,48,reserved,*
*,ipv6,2001:df0:6::,48,reserved,*
*,ipv6,2001:dfb:1::,48,reserved,*
*,ipv6,2400:1e80::,32,reserved,*
*,ipv6,2400:4ae0::,32,reserved,*
*,ipv6,2400:5860::,32,reserved,*
*,ipv6,2400:6be0::,32,reserved,*
*,ipv6,2400:7320::,32,reserved,*
*,ipv6,2400:7ba0::,32,reserved,*
*,ipv6,2400:91a0::,32,reserved,*
*,ipv6,2400:92a0::,32,reserved,*
*,ipv6,2400:9f20::,32,reserved,*
*,ipv6,2400:a440::,32,reserved,*
*,ipv6,2400:a560::,32,reserved,*
*,ipv6,2400:a7a0::,32,reserved,*
*,ipv6,2400:aaa0::,32,reserved,*
*,ipv6,2400:b2c0::,32,reserved,*
*,ipv6,2400:ba40::,32,reserved,*
*,ipv6,2400:ba41::,32,reserved,*
