state,ip,prefixlength
allocated,160.238.58.0,23
allocated,160.238.64.0,19
allocated,162.12.208.0,21
allocated,162.12.240.0,21
allocated,163.0.0.0,11
allocated,163.32.0.0,13
allocated,163.40.0.0,14
allocated,163.44.0.0,15
allocated,163.46.0.0,16
allocated,163.47.0.0,22
allocated,163.47.4.0,22
allocated,163.47.8.0,21
allocated,163.47.16.0,23
allocated,163.47.18.0,24
allocated,163.47.19.0,24
allocated,163.47.20.0,23
allocated,163.47.22.0,23
allocated,163.47.24.0,21
allocated,163.47.32.0,21
allocated,163.47.40.0,22
allocated,163.47.44.0,23
allocated,163.47.46.0,24
allocated,163.47.47.0,24
allocated,163.47.48.0,20
allocated,163.47.64.0,18
allocated,163.47.128.0,17
allocated,163.48.0.0,14
allocated,163.52.0.0,16
allocated,163.53.0.0,16
allocated,163.54.0.0,15
allocated,163.56.0.0,13
allocated,163.64.0.0,10
allocated,163.128.0.0,9
allocated,171.0.0.0,8
allocated,175.0.0.0,8
allocated,180.0.0.0,8
allocated,182.0.0.0,8
allocated,183.0.0.0,8
allocated,192.12.109.0,24
allocated,192.26.110.0,24
allocated,192.51.188.0,24
allocated,192.75.137.0,24
allocated,192.135.90.0,23
allocated,192.135.99.0,24
allocated,192.140.128.0,17
allocated,192.144.78.0,23
allocated,192.144.80.0,20
allocated,192.145.228.0,23
allocated,192.156.144.0,24
allocated,192.156.220.0,24
allocated,192.188.82.0,23
allocated,192.197.113.0,24
allocated,199.21.172.0,22
allocated,199.212.57.0,24
allocated,202.0.0.0,8
allocated,203.0.0.0,18
allocated,203.0.64.0,19
allocated,203.0.96.0,20
allocated,203.0.112.0,24
allocated,203.0.114.0,23
allocated,203.0.116.0,22
allocated,203.0.120.0,21
allocated,203.0.128.0,17
allocated,203.1.0.0,16
allocated,203.2.0.0,15
allocated,203.4.0.0,14
allocated,203.8.0.0,13
allocated,203.16.0.0,12
allocated,203.32.0.0,11
allocated,203.64.0.0,10
allocated,203.128.0.0,9
allocated,204.52.191.0,24
allocated,210.0.0.0,8
allocated,211.0.0.0,8
allocated,216.250.96.0,20
allocated,218.0.0.0,8
allocated,219.0.0.0,8
allocated,220.0.0.0,8
allocated,221.0.0.0,8
allocated,222.0.0.0,8
allocated,223.0.0.0,8
allocated,3.0.0.0,8
allocated,4.0.0.0,8
allocated,6.0.0.0,8
allocated,7.0.0.0,8
allocated,8.0.0.0,8
allocated,9.0.0.0,8
allocated,11.0.0.0,8
allocated,12.0.0.0,8
allocated,13.0.0.0,8
allocated,15.0.0.0,8
allocated,16.0.0.0,8
allocated,17.0.0.0,8
allocated,18.0.0.0,8
allocated,19.0.0.0,8
allocated,20.0.0.0,8
allocated,21.0.0.0,8
allocated,22.0.0.0,8
allocated,23.0.0.0,8
allocated,24.0.0.0,8
allocated,26.0.0.0,8
allocated,28.0.0.0,8
allocated,29.0.0.0,8
allocated,30.0.0.0,8
allocated,32.0.0.0,8
allocated,33.0.0.0,8
allocated,34.0.0.0,8
allocated,35.0.0.0,8
allocated,38.0.0.0,8
allocated,40.0.0.0,8
allocated,44.0.0.0,8
allocated,45.0.0.0,15
allocated,45.2.0.0,15
allocated,45.16.0.0,12
allocated,45.32.0.0,11
allocated,45.72.0.0,13
allocated,45.223.0.0,16
allocated,47.0.0.0,8
allocated,48.0.0.0,8
allocated,50.0.0.0,8
allocated,52.0.0.0,8
allocated,53.0.0.0,8
allocated,54.0.0.0,8
allocated,55.0.0.0,8
allocated,56.0.0.0,8
allocated,57.0.0.0,8
allocated,63.0.0.0,8
allocated,64.0.0.0,8
allocated,65.0.0.0,8
allocated,66.0.0.0,9
allocated,66.128.0.0,10
allocated,66.192.0.0,12
allocated,66.208.0.0,13
allocated,66.216.0.0,15
allocated,66.218.0.0,17
allocated,66.218.128.0,22
allocated,66.218.132.0,23
allocated,66.218.134.0,23
allocated,66.218.136.0,21
allocated,66.218.144.0,20
allocated,66.218.160.0,19
allocated,66.218.192.0,18
allocated,66.219.0.0,16
allocated,66.220.0.0,14
allocated,66.224.0.0,12
allocated,66.240.0.0,13
allocated,66.248.0.0,15
allocated,66.250.0.0,16
allocated,66.251.0.0,17
allocated,66.251.192.0,18
allocated,66.252.0.0,14
allocated,67.0.0.0,8
allocated,68.0.0.0,8
allocated,69.0.0.0,8
allocated,70.0.0.0,8
allocated,71.0.0.0,8
allocated,72.0.0.0,11
allocated,72.32.0.0,13
allocated,72.40.0.0,14
allocated,72.44.0.0,20
allocated,72.44.32.0,19
allocated,72.44.64.0,18
allocated,72.44.128.0,17
allocated,72.45.0.0,16
allocated,72.46.0.0,15
allocated,72.48.0.0,12
allocated,72.64.0.0,10
allocated,72.128.0.0,9
allocated,73.0.0.0,8
allocated,74.0.0.0,10
allocated,74.64.0.0,12
allocated,74.80.0.0,13
allocated,74.88.0.0,15
allocated,74.90.0.0,16
allocated,74.91.0.0,19
allocated,74.91.32.0,20
allocated,74.91.48.0,20
allocated,74.91.64.0,18
allocated,74.91.128.0,17
allocated,74.92.0.0,14
allocated,74.96.0.0,11
allocated,74.128.0.0,9
allocated,75.0.0.0,8
allocated,76.0.0.0,8
allocated,96.0.0.0,8
allocated,97.0.0.0,8
allocated,98.0.0.0,8
allocated,99.0.0.0,8
allocated,100.0.0.0,10
allocated,100.128.0.0,9
allocated,104.0.0.0,8
allocated,107.0.0.0,8
allocated,108.0.0.0,8
allocated,128.0.0.0,9
allocated,128.128.0.0,10
allocated,128.192.0.0,13
allocated,128.200.0.0,16
allocated,128.202.0.0,15
allocated,128.204.0.0,14
allocated,128.208.0.0,12
allocated,128.224.0.0,11
allocated,129.0.0.0,8
allocated,130.0.0.0,8
allocated,131.0.0.0,9
allocated,131.128.0.0,10
allocated,131.192.0.0,14
allocated,131.197.0.0,16
allocated,131.198.0.0,15
allocated,131.200.0.0,13
allocated,131.208.0.0,12
allocated,131.224.0.0,11
allocated,132.0.0.0,8
allocated,134.0.0.0,8
allocated,135.0.0.0,8
allocated,136.0.0.0,8
allocated,137.0.0.0,11
allocated,137.32.0.0,12
allocated,137.48.0.0,13
allocated,137.56.0.0,15
allocated,137.58.0.0,16
allocated,137.60.0.0,14
allocated,137.64.0.0,10
allocated,137.128.0.0,9
allocated,138.0.0.0,8
allocated,139.0.0.0,14
allocated,139.4.0.0,16
allocated,139.6.0.0,15
allocated,139.8.0.0,13
allocated,139.16.0.0,13
allocated,139.24.0.0,15
allocated,139.27.0.0,16
allocated,139.29.0.0,16
allocated,139.30.0.0,15
allocated,139.32.0.0,11
allocated,139.64.0.0,10
allocated,139.128.0.0,9
allocated,140.0.0.0,8
allocated,142.0.0.0,8
allocated,143.0.0.0,8
allocated,144.0.0.0,11
allocated,144.32.0.0,12
allocated,144.49.0.0,16
allocated,144.50.0.0,15
allocated,144.52.0.0,14
allocated,144.56.0.0,13
allocated,144.64.0.0,10
allocated,144.128.0.0,11
allocated,144.160.0.0,13
allocated,144.168.0.0,16
allocated,144.169.0.0,16
allocated,144.170.0.0,15
allocated,144.172.0.0,14
allocated,144.176.0.0,12
allocated,144.192.0.0,10
allocated,146.0.0.0,9
allocated,146.128.0.0,10
allocated,146.192.0.0,14
allocated,146.196.0.0,19
allocated,146.197.0.0,16
allocated,146.198.0.0,15
allocated,146.200.0.0,13
allocated,146.208.0.0,12
allocated,146.224.0.0,11
allocated,147.0.0.0,10
allocated,147.64.0.0,13
allocated,147.72.0.0,14
allocated,147.76.0.0,15
allocated,147.79.0.0,16
allocated,147.80.0.0,12
allocated,147.96.0.0,11
allocated,147.128.0.0,9
allocated,148.0.0.0,8
allocated,149.0.0.0,9
allocated,149.128.0.0,10
allocated,149.192.0.0,11
allocated,149.224.0.0,12
allocated,149.240.0.0,13
allocated,149.248.0.0,16
allocated,149.249.0.0,16
allocated,149.250.0.0,15
allocated,149.252.0.0,14
allocated,152.0.0.0,10
allocated,152.64.0.0,12
allocated,152.80.0.0,13
allocated,152.88.0.0,16
allocated,152.90.0.0,15
allocated,152.92.0.0,14
allocated,152.96.0.0,11
allocated,152.128.0.0,9
allocated,155.0.0.0,8
allocated,156.0.0.0,8
allocated,157.0.0.0,10
allocated,157.64.0.0,11
allocated,157.96.0.0,12
allocated,157.112.0.0,14
allocated,157.116.0.0,15
allocated,157.118.0.0,16
allocated,157.120.0.0,13
allocated,157.128.0.0,9
allocated,158.0.0.0,8
allocated,159.0.0.0,8
allocated,160.0.0.0,12
allocated,160.16.0.0,15
allocated,160.18.0.0,16
allocated,160.19.0.0,20
allocated,160.19.16.0,22
allocated,160.19.24.0,21
allocated,160.19.32.0,22
allocated,160.19.40.0,22
allocated,160.19.56.0,22
allocated,160.19.68.0,22
allocated,160.19.72.0,21
allocated,160.19.80.0,21
allocated,160.19.88.0,22
allocated,160.19.104.0,22
allocated,160.19.108.0,22
allocated,160.19.144.0,21
allocated,160.19.156.0,22
allocated,160.19.160.0,22
allocated,160.19.164.0,22
allocated,160.19.176.0,22
allocated,160.19.184.0,22
allocated,160.19.204.0,22
allocated,160.19.228.0,22
allocated,160.20.16.0,22
allocated,160.20.36.0,22
allocated,160.20.76.0,22
allocated,160.20.104.0,22
allocated,160.20.116.0,22
allocated,160.20.120.0,21
allocated,160.20.128.0,20
allocated,160.20.208.0,22
allocated,160.20.212.0,24
allocated,160.20.216.0,24
allocated,160.20.220.0,24
allocated,160.20.224.0,24
allocated,160.20.228.0,24
allocated,160.20.230.0,23
allocated,160.20.232.0,21
allocated,160.20.240.0,24
allocated,160.20.244.0,24
allocated,160.20.250.0,24
