region,version,ip,prefixlength,state
ripencc,ipv4,194.145.206.0,23,assigned
ripencc,ipv4,195.3.168.0,22,assigned
ripencc,ipv4,195.5.110.0,24,assigned
ripencc,ipv4,195.49.188.0,22,assigned
ripencc,ipv4,195.62.16.0,23,assigned
ripencc,ipv4,195.68.230.0,23,assigned
ripencc,ipv4,195.68.234.0,23,assigned
ripencc,ipv4,195.78.44.0,23,assigned
ripencc,ipv4,5.34.168.0,21,allocated
ripencc,ipv4,195.210.28.0,23,assigned
ripencc,ipv4,195.242.185.0,24,assigned
ripencc,ipv4,195.245.78.0,23,assigned
ripencc,ipv4,195.245.233.0,24,assigned
ripencc,ipv4,213.108.120.0,21,assigned
ripencc,ipv4,194.88.218.0,23,assigned
ripencc,ipv4,194.88.194.0,23,assigned
ripencc,ipv4,194.62.204.0,21,assigned
ripencc,ipv4,194.62.100.0,23,assigned
ripencc,ipv4,194.1.157.0,24,assigned
ripencc,ipv4,194.1.172.0,22,assigned
ripencc,ipv4,194.1.185.0,24,assigned
ripencc,ipv4,194.1.191.0,24,assigned
ripencc,ipv4,194.1.215.0,23,assigned
ripencc,ipv4,194.1.222.0,23,assigned
ripencc,ipv4,194.1.224.0,24,assigned
ripencc,ipv4,91.243.122.0,24,assigned
ripencc,ipv4,194.1.225.0,24,assigned
ripencc,ipv4,194.1.227.0,24,assigned
ripencc,ipv4,194.1.228.0,24,assigned
ripencc,ipv4,194.1.229.0,24,assigned
ripencc,ipv4,194.1.230.0,24,assigned
ripencc,ipv4,194.1.231.0,24,assigned
ripencc,ipv4,194.35.64.0,21,assigned
ripencc,ipv4,194.61.95.0,24,assigned
ripencc,ipv4,194.1.226.0,24,assigned
ripencc,ipv4,91.242.163.0,24,assigned
ripencc,ipv4,195.160.182.0,23,assigned
ripencc,ipv4,91.237.168.0,23,assigned
ripencc,ipv4,213.181.128.0,19,allocated
ripencc,ipv4,213.215.64.0,18,allocated
ripencc,ipv4,217.12.48.0,20,allocated
ripencc,ipv4,217.23.240.0,20,allocated
ripencc,ipv4,217.31.32.0,20,allocated
ripencc,ipv4,217.67.16.0,20,allocated
ripencc,ipv4,217.73.16.0,20,allocated
ripencc,ipv4,217.75.64.0,20,allocated
ripencc,ipv4,217.75.80.0,20,allocated
ripencc,ipv4,217.118.96.0,20,allocated
ripencc,ipv4,217.119.112.0,20,allocated
ripencc,ipv4,217.144.16.0,20,allocated
ripencc,ipv4,217.145.192.0,20,allocated
ripencc,ipv4,217.172.144.0,20,allocated
ripencc,ipv4,31.130.160.0,21,assigned
ripencc,ipv4,213.160.160.0,19,allocated
ripencc,ipv4,31.131.224.0,20,assigned
ripencc,ipv4,213.151.224.0,19,allocated
ripencc,ipv4,213.81.128.0,17,allocated
ripencc,ipv4,91.237.170.0,24,assigned
ripencc,ipv4,195.181.248.0,22,allocated
ripencc,ipv4,195.242.182.0,24,allocated
ripencc,ipv4,195.245.195.0,24,allocated
ripencc,ipv4,195.245.207.0,24,allocated
ripencc,ipv4,212.5.192.0,19,allocated
ripencc,ipv4,212.6.32.0,24,allocated
ripencc,ipv4,212.26.160.0,19,allocated
ripencc,ipv4,212.37.64.0,19,allocated
ripencc,ipv4,212.55.224.0,19,allocated
ripencc,ipv4,212.57.32.0,21,allocated
ripencc,ipv4,212.81.0.0,19,allocated
ripencc,ipv4,212.89.224.0,19,allocated
ripencc,ipv4,212.197.0.0,17,allocated
ripencc,ipv4,212.232.16.0,21,allocated
ripencc,ipv4,213.151.192.0,19,allocated
ripencc,ipv4,31.134.96.0,21,assigned
ripencc,ipv4,195.242.187.0,24,allocated
ripencc,ipv4,46.151.56.0,21,assigned
ripencc,ipv4,91.223.209.0,24,assigned
ripencc,ipv4,91.224.42.0,23,assigned
ripencc,ipv4,91.226.112.0,22,assigned
ripencc,ipv4,91.227.224.0,22,assigned
ripencc,ipv4,91.228.164.0,22,assigned
ripencc,ipv4,91.228.244.0,23,assigned
ripencc,ipv4,91.229.24.0,24,assigned
ripencc,ipv4,91.229.28.0,23,assigned
ripencc,ipv4,91.229.36.0,22,assigned
ripencc,ipv4,91.230.44.0,23,assigned
ripencc,ipv4,91.232.218.0,23,assigned
ripencc,ipv4,91.232.220.0,22,assigned
ripencc,ipv4,91.233.248.0,24,assigned
ripencc,ipv4,91.236.68.0,22,assigned
ripencc,ipv4,46.150.192.0,19,assigned
ripencc,ipv4,91.223.173.0,24,assigned
ripencc,ipv4,91.223.69.0,24,assigned
ripencc,ipv4,91.235.52.0,22,assigned
ripencc,ipv4,91.221.112.0,23,assigned
ripencc,ipv4,46.175.0.0,21,assigned
ripencc,ipv4,91.222.104.0,22,assigned
ripencc,ipv4,81.161.60.0,23,assigned
ripencc,ipv4,81.162.80.0,20,assigned
ripencc,ipv4,91.196.196.0,22,assigned
ripencc,ipv4,91.199.31.0,24,assigned
ripencc,ipv4,91.199.124.0,24,assigned
ripencc,ipv4,91.208.41.0,24,assigned
ripencc,ipv4,91.236.82.0,24,assigned
ripencc,ipv4,91.209.247.0,24,assigned
ripencc,ipv4,91.209.33.0,24,assigned
ripencc,ipv4,91.220.237.0,24,assigned
ripencc,ipv4,91.219.132.0,22,assigned
ripencc,ipv4,91.221.4.0,23,assigned
ripencc,ipv4,91.217.32.0,23,assigned
ripencc,ipv4,91.210.180.0,22,assigned
ripencc,ipv4,91.212.112.0,24,assigned
ripencc,ipv6,2a0c:e180::,29,allocated
ripencc,ipv6,2a0b:8940::,29,allocated
ripencc,ipv6,2a0b:d140::,29,allocated
ripencc,ipv6,2a0b:f100::,29,allocated
ripencc,ipv6,2a0b:f680::,29,allocated
ripencc,ipv6,2a0c:840::,29,allocated
ripencc,ipv6,2a0c:1300::,29,allocated
ripencc,ipv6,2a0c:2540::,29,allocated
ripencc,ipv6,2a0b:62c0::,29,allocated
ripencc,ipv6,2a0c:c200::,32,allocated
ripencc,ipv6,2a0c:c500::,32,allocated
ripencc,ipv6,2a0c:d640::,32,allocated
ripencc,ipv6,2a0c:db40::,29,allocated
ripencc,ipv6,2a0c:f600::,29,allocated
ripencc,ipv6,2a0c:b3c0::,29,allocated
ripencc,ipv6,2a0b:1100::,29,allocated
ripencc,ipv6,2a0b:26c0::,29,allocated
ripencc,ipv6,2a07:9140::,29,allocated
ripencc,ipv6,2a0d:1d00::,29,allocated
ripencc,ipv6,2a07:9e40::,29,allocated
ripencc,ipv6,2a07:c380::,29,allocated
ripencc,ipv6,2a07:db40::,29,allocated
ripencc,ipv6,2a09:6c0::,29,allocated
ripencc,ipv6,2a0b:4000::,29,allocated
ripencc,ipv6,2a09:27c0::,29,allocated
ripencc,ipv6,2a09:6540::,29,allocated
ripencc,ipv6,2a09:d4c0::,29,allocated
ripencc,ipv6,2a0a:2a80::,29,allocated
ripencc,ipv6,2a0a:2b80::,29,allocated
ripencc,ipv6,2a0a:a680::,29,allocated
ripencc,ipv6,2a0a:cbc0::,29,allocated
ripencc,ipv6,2a09:6100::,29,allocated
ripencc,ipv6,2a0a:1a00::,29,allocated
ripencc,ipv6,2001:678:448::,48,assigned
ripencc,ipv6,2a0d:3700::,29,allocated
ripencc,ipv6,2001:678:fc0::,48,assigned
ripencc,ipv6,2001:67c:1050::,48,assigned
ripencc,ipv6,2001:67c:170c::,48,assigned
ripencc,ipv6,2001:67c:1bd4::,48,assigned
ripencc,ipv6,2001:67c:222c::,48,assigned
ripencc,ipv6,2001:67c:224c::,48,assigned
ripencc,ipv6,2001:678:c90::,48,assigned
ripencc,ipv6,2001:67c:2638::,48,assigned
ripencc,ipv6,2001:67c:26d4::,48,assigned
ripencc,ipv6,2001:67c:2740::,48,assigned
ripencc,ipv6,2001:67c:2b5c::,48,assigned
ripencc,ipv6,2001:67c:2cd8::,48,assigned
ripencc,ipv6,2001:7f8:2f::,48,assigned
ripencc,ipv6,2a07:83c0::,29,allocated
ripencc,ipv6,2001:67c:2670::,48,assigned
ripencc,ipv6,2a0d:3180::,29,allocated
ripencc,ipv6,2001:678:c34::,48,assigned
ripencc,ipv6,2001:678:12c::,48,assigned
ripencc,ipv6,2a0d:4a00::,32,allocated
ripencc,ipv6,2a0d:8ec0::,29,allocated
ripencc,ipv6,2a0d:ff40::,29,allocated
ripencc,ipv6,2a0e:4d80::,29,allocated
ripencc,ipv6,2a0e:8dc0::,29,allocated
ripencc,ipv6,2a0e:a440::,29,allocated
ripencc,ipv6,2001:678:86c::,48,assigned
ripencc,ipv6,2a0e:bb40::,29,allocated
ripencc,ipv6,2a0f:e980::,29,allocated
ripencc,ipv6,2a10:9c80::,29,allocated
ripencc,ipv6,2a10:ac80::,29,allocated
ripencc,ipv6,2001:678:70::,48,assigned
ripencc,ipv6,2001:678:90::,48,assigned
ripencc,ipv6,2001:678:9c::,48,assigned
ripencc,ipv6,2a0f:7340::,29,allocated
ripencc,ipv6,2a07:7d40::,29,allocated
ripencc,ipv6,2a02:a68::,32,allocated
ripencc,ipv6,2a06:f000::,29,allocated
ripencc,ipv6,2a01:b200::,32,allocated
ripencc,ipv6,2a01:9f80::,32,allocated
ripencc,ipv6,2a01:90e0::,32,allocated
ripencc,ipv6,2a01:8a80::,32,allocated
ripencc,ipv6,2a01:7d40::,32,allocated
ripencc,ipv6,2a01:6b80::,32,allocated
ripencc,ipv6,2a01:5200::,29,allocated
ripencc,ipv6,2a01:390::,29,allocated
ripencc,ipv6,2a01:328::,32,allocated
ripencc,ipv6,2a01:108::,32,allocated
ripencc,ipv6,2a01:e0::,32,allocated
ripencc,ipv6,2a00:ff80::,29,allocated
ripencc,ipv6,2a00:e380::,29,allocated
ripencc,ipv6,2a00:ba00::,32,allocated
ripencc,ipv6,2a00:b000::,32,allocated
ripencc,ipv6,2a00:a8a0::,32,allocated
ripencc,ipv6,2a00:9ee0::,32,allocated
ripencc,ipv6,2001:1ba0::,32,allocated
ripencc,ipv6,2001:4118::,32,allocated
ripencc,ipv6,2a00:10d8::,32,allocated
ripencc,ipv6,2a00:10d9::,32,allocated
ripencc,ipv6,2a00:10da::,31,allocated
ripencc,ipv6,2a00:10dc::,30,allocated
ripencc,ipv6,2a02:130::,32,allocated
ripencc,ipv6,2a00:1298::,32,allocated
ripencc,ipv6,2a00:1e40::,32,allocated
ripencc,ipv6,2a00:4b40::,32,allocated
ripencc,ipv6,2a00:6d20::,32,allocated
ripencc,ipv6,2a00:7f20::,32,allocated
ripencc,ipv6,2a00:9060::,32,allocated
ripencc,ipv6,2a00:9640::,32,allocated
ripencc,ipv6,2a00:12a8::,29,allocated
ripencc,ipv6,2a02:770::,32,allocated
ripencc,ipv6,2a02:c80::,32,allocated
ripencc,ipv6,2a02:dd8::,29,allocated
ripencc,ipv6,2a04:b540::,29,allocated
ripencc,ipv6,2a04:f480::,29,allocated
ripencc,ipv6,2a05:980::,29,allocated
ripencc,ipv6,2a05:2140::,29,allocated
ripencc,ipv6,2a05:2e00::,32,allocated
ripencc,ipv6,2a05:aa00::,29,allocated
ripencc,ipv6,2a03:f040::,32,allocated
ripencc,ipv6,2a05:e300::,29,allocated
ripencc,ipv6,2a06:cc0::,29,allocated
ripencc,ipv6,2a06:2c40::,29,allocated
ripencc,ipv6,2a06:6bc0::,29,allocated
ripencc,ipv6,2a06:a280::,29,allocated
ripencc,ipv6,2a06:dbc0::,29,allocated
ripencc,ipv6,2a06:e500::,29,allocated
ripencc,ipv6,2a05:e800::,29,allocated
ripencc,ipv6,2a07:3f80::,29,allocated
ripencc,ipv6,2a03:cd80::,32,allocated
ripencc,ipv6,2a03:a200::,32,allocated
ripencc,ipv6,2a02:5b80::,32,allocated
ripencc,ipv6,2a02:6300::,32,allocated
ripencc,ipv6,2a02:6380::,32,allocated
ripencc,ipv6,2a02:63a0::,32,allocated
ripencc,ipv6,2a02:6720::,29,allocated
ripencc,ipv6,2a02:6ca0::,29,allocated
ripencc,ipv6,2a03:aac0::,32,allocated
