version,ip,prefixlength
ipv6,2406:700::,32
ipv6,2406:9c0::,32
ipv6,2406:a40::,32
ipv6,2406:a80::,32
ipv6,2406:b40::,32
ipv6,2407:280::,32
ipv6,2407:440::,32
ipv6,2407:6c0::,32
ipv6,2407:700::,32
ipv6,2001:4440::,32
ipv6,2001:4441::,32
ipv6,2001:4442::,32
ipv6,2001:4468::,32
ipv6,2001:448c::,30
ipv6,2001:4494::,30
ipv6,2001:452c::,30
ipv6,2001:dd8:3::,48
ipv6,2001:de8:9::,48
ipv6,2001:df0:2::,48
ipv6,2001:df0:6::,48
ipv6,2001:dfb:1::,48
ipv6,2400:13e0::,32
ipv6,2400:1540::,32
ipv6,2400:1860::,32
ipv6,2400:1d80::,32
ipv6,2400:1e60::,32
ipv6,2400:1f80::,32
ipv6,2400:30c0::,32
ipv6,2400:34e0::,32
ipv6,2400:3760::,32
ipv6,2400:3940::,32
ipv6,2400:3ac0::,32
ipv6,2400:3d40::,32
ipv6,2400:3e40::,32
ipv6,2400:3ea0::,32
ipv6,2400:44e0::,32
ipv6,2400:49c0::,32
ipv6,2400:4a40::,32
ipv6,2400:4b40::,32
ipv6,2400:4dc0::,32
ipv6,2400:5480::,32
ipv6,2400:5a80::,32
ipv6,2400:5d40::,32
ipv6,2400:5e40::,32
ipv6,2400:6ba0::,32
ipv6,2400:7780::,32
ipv6,2400:78e0::,32
ipv6,2400:7a40::,32
ipv6,2400:7c00::,32
ipv6,2400:7ec0::,32
ipv6,2400:7f20::,32
ipv6,2400:8440::,32
ipv6,2400:8720::,32
ipv6,2400:8a40::,32
ipv6,2400:8ae0::,32
ipv6,2400:8cc0::,32
ipv6,2400:8e80::,32
ipv6,2400:9240::,32
ipv6,2400:92c0::,32
ipv6,2400:9660::,32
ipv6,2400:9dc0::,32
ipv6,2400:9f40::,32
ipv6,2400:a6c0::,32
ipv6,2400:a9c0::,32
ipv6,2400:ae80::,32
ipv6,2400:aec0::,32
ipv6,2400:b7c0::,32
ipv6,2400:ba80::,32
ipv6,2400:bc40::,32
ipv6,2400:c100::,32
ipv6,2400:c240::,32
ipv6,2400:c4e0::,32
ipv6,2400:cf80::,32
ipv6,2400:d060::,32
ipv6,2400:d380::,32
ipv6,2400:d840::,32
ipv6,2400:d880::,32
ipv6,2400:e140::,32
ipv6,2400:e540::,32
ipv6,2400:e800::,32
ipv6,2400:ec00::,32
ipv6,2400:f540::,32
ipv6,2400:f740::,32
ipv6,2400:fd00::,32
ipv6,2401:1b40::,32
ipv6,2401:1c80::,32
ipv6,2401:2380::,32
ipv6,2401:2580::,32
ipv6,2401:29c0::,32
ipv6,2401:3180::,32
ipv6,2401:4140::,32
ipv6,2401:4240::,32
ipv6,2401:42c0::,32
ipv6,2401:4901::,32
ipv6,2401:4902::,31
ipv6,2401:4904::,30
ipv6,2401:4908::,29
ipv6,2401:4910::,28
ipv6,2401:4920::,27
ipv6,2401:4940::,26
